"","Date","Electricity","Chilled Water","Steam","Natural Gas","Solar"
"1","1-31-2014",206381.76898819,7191.34375,361477.888671875,16209.4844,0
"2","1-31-2015",317648.856719971,78756.90625,672205.404296875,15699.6035,0
"3","1-31-2016",369501.496620178,85397.56640625,592129.295898438,16775.215,0
"4","1-31-2017",348557.969100952,68450.34765625,667061.615234375,128710.05115,0
"5","1-31-2018",355909.274848938,71331.248046875,773599.84375,100937.0205,11250.64355
"6","1-31-2019",352951.432624817,86833.4697265625,843232.7890625,86089.4065,4472.125
"7","10-31-2013",198030.036941528,34432.12109375,156287.4921875,4484.4345,0
"8","10-31-2014",313344.25957489,15964.7138671875,212352.08203125,4050.93823,0
"9","10-31-2015",320512.071876526,229626.297851562,241593.979492188,2267.6345,0
"10","10-31-2016",388325.699966431,293513.229492188,280625.057617188,81128.486695,0
"11","10-31-2017",390938.540985107,322422.986328125,2047559.76367188,59086.287235,23968.7676
"12","10-31-2018",397539.918182373,473636.330078125,440889.6484375,42019.7995,7204.21875
"13","10-31-2019",416523.463363647,416121.806640625,446244.751953125,38413.90674,8492.8125
"14","11-30-2013",203346.55922699,13361.83203125,267870.666015625,9314.55,0
"15","11-30-2014",295958.428291321,1939.0478515625,389510.39453125,7860.40965,0
"16","11-30-2015",298064.219306946,88021.328125,820789.029296875,11248.6162,0
"17","11-30-2016",351361.218582153,169167.37890625,406892.397460938,96879.7217,0
"18","11-30-2017",349742.997787476,109372.249023438,520729.767578125,79638.4297,14963.8589
"19","11-30-2018",344360.917243958,194040.522460938,652707.927734375,57915.1167,4023.75
"20","11-30-2019",392902.881141663,168961.5234375,743485.073242188,52107.72465,5459.28125
"21","12-31-2013",160578.494972229,2151.515625,457922.103515625,22157.89845,0
"22","12-31-2014",273186.136299133,8018.3916015625,553818.51953125,14193.41115,0
"23","12-31-2015",291740.705093384,71698.67578125,1013007.31835938,19603.34375,0
"24","12-31-2016",272884.461601257,70320.9296875,594595.703125,132767.02525,0
"25","12-31-2017",303154.84552002,68045.7236328125,741684.954101562,98393.4588,16391.56845
"26","12-31-2018",277467.636703491,61320.5595703125,716158.491210938,76265.28125,4357.28125
"27","12-31-2019",327666.997085571,73801.193359375,1110827.21289062,86854.425,1496.5625
"28","2-28-2013",186933.664718628,56933.33203125,360096.19140625,13461.9658,0
"29","2-28-2014",197292.393623352,5636.09765625,291524.142578125,12761.47655,0
"30","2-28-2015",296859.970306396,89401.8125,491958.236328125,7266.96045,0
"31","2-28-2017",345560.555114746,85629.87109375,496710.967773438,97885.12,0
"32","2-28-2018",343016.37966156,113023.544921875,670052.244140625,90731.1347,24029.00975
"33","2-28-2019",346917.140441895,66159.2041015625,871897.643554688,83770.4074,5111.3125
"34","2-29-2016",350236.994049072,117450.53515625,420956.006835938,7616.6885,0
"35","3-31-2013",189689.000595093,113240.831054688,234847.369140625,5442.06055,0
"36","3-31-2014",204035.829490662,3083.1953125,213644.806640625,6869.06105,0
"37","3-31-2015",297624.074249268,131856.573242188,404333.330078125,4873.2795,0
"38","3-31-2016",349237.96434021,120743.6171875,392786.325195312,5674.955,0
"39","3-31-2017",355613.574501038,176095.890625,433691.137695312,85052.94335,30103.47
"40","3-31-2018",352685.841842651,121904.157226562,671901.067382812,102461.8401,26760.10385
"41","3-31-2019",350287.953399658,144396.412723438,804780.689453125,67279.0881,7928.375
"42","4-30-2013",194335.41217804,212702.506835938,158587.859375,3508.059325,0
"43","4-30-2014",168185.371846008,8394.8671875,189903.013671875,5499.9,0
"44","4-30-2015",315008.083183289,152619.469726562,429607.990234375,4444.723,0
"45","4-30-2016",356805.871429443,208379.97265625,291684.58203125,2448.11084,0
"46","4-30-2017",358038.982009888,202307.62109375,370921.715820312,69829.679325,33856.96385
"47","4-30-2018",368632.075683594,267983.42578125,569071.572265625,74789.0755,32901.38285
"48","4-30-2019",385355.52306366,384387.056640625,537932.45703125,47499.2583,9678.84375
"49","5-31-2013",198080.065216064,260542.044921875,128368.599609375,2857.0265,0
"50","5-31-2014",202684.669891357,14069.3837890625,136123.369140625,3888.5188,0
"51","5-31-2015",316945.356964111,170698.70703125,357246.115234375,2882.04468,0
"52","5-31-2016",363043.484230042,424165.009765625,240535.892578125,1538.98181,0
"53","5-31-2017",387024.626190186,431793.243164062,274464.590820312,50292.810635,42689.291
"54","5-31-2018",375424.847457886,450837.938476562,416236.787109375,56833.57324,39047.24795
"55","5-31-2019",402851.398376465,395371.391601562,550064.608398438,46406.6157,8664.96875
"56","6-30-2013",165954.421440125,232580.0390625,109795.31640625,2451.661865,0
"57","6-30-2014",167278.057273865,15021.2607421875,120985.734375,2694.45,0
"58","6-30-2015",231480.312713623,242543.334960938,665213.306640625,2153.858155,0
"59","6-30-2016",243972.095352173,502854.669921875,142684.435546875,1314.768065,0
"60","6-30-2017",331892.562858582,542496.677734375,205664.1640625,42170.101195,24057.64705
"61","6-30-2018",306604.802276611,634063.608398438,284165.482421875,49639.90798,40280.1525
"62","6-30-2019",330903.902854919,811370.743164062,365679.891601562,35870.260865,11891.375
"63","7-31-2013",151551.329856873,143819.55078125,107316.599609375,2629.46118,0
"64","7-31-2014",159787.900917053,17679.9609375,119783.296875,2770.425,0
"65","7-31-2015",193896.888687134,244049.810546875,77078.6943359375,1915.252565,0
"66","7-31-2016",180987.712669373,492797.078125,132823.982421875,1205.950685,0
"67","7-31-2017",282106.366516113,536909.310546875,172250.331054688,46265.689285,26242.27905
"68","7-31-2018",283411.682113647,817595.84765625,224439.026367188,53932.807555,36804.39135
"69","7-31-2019",289256.507469177,762090.935546875,261026.140625,45756.35409,11323.15625
"70","8-31-2013",170284.263084412,130062.360351562,99449.224609375,2904.0105,0
"71","8-31-2014",175783.471412659,15926.1748046875,106102.052734375,3083.74927,0
"72","8-31-2015",216021.676483154,308998.647460938,83103.4296875,1980.457155,0
"73","8-31-2016",192684.517471313,416035.896484375,147622.209960938,1439.58081,0
"74","8-31-2017",264124.733398438,486651.705078125,175599.826171875,47495.70719,34343.48535
"75","8-31-2018",275375.552772522,542468.625976562,281083.705078125,51786.657565,32700.60695
"76","8-31-2019",255940.263404846,732536.3984375,106960.12109375,37175.299315,9863
"77","9-30-2013",183356.42389679,82235.3974609375,101170.3359375,3102.7065,0
"78","9-30-2014",178862.706993103,28121.76171875,132681.578125,3205.51587,0
"79","9-30-2015",253768.667671204,223349.587890625,164856.237304688,2123.740235,0
"80","9-30-2016",292208.087501526,446712.053710938,174521.696289062,1353.328735,0
"81","9-30-2017",280414.220802307,410877.916015625,147683.188476562,45931.2215,25622.30755
"82","9-30-2018",303114.766792297,502420.755859375,299698.776367188,41185.220705,26907.3516
"83","9-30-2019",324378.48261261,600645.119140625,124589.6953125,42227.23572,8271.1875
