"","Date","Chilled_water","Electricity","Steam","Natural_gas","Solar"
"1",2014-01-31,199970.424295665,344487.264238629,14723.3852665346,70844.561775,0
"2",2015-01-31,267830.395447776,383862.585308621,164436.583569938,75657.57521875,0
"3",2016-01-31,293557.878009278,371452.538474395,174707.942257235,24930.42475625,0
"4",2017-01-31,288568.138676988,395545.114871278,328102.355856919,145563.751039844,0
"5",2018-01-31,65113.4461291051,390100.358902094,370921.875373952,117044.483858594,9775.9331
"6",2019-01-31,72683.6950913367,365086.778857474,746516.49796784,129011.643648437,3839.9667975
"7",2013-10-31,194156.520363408,376361.700610013,97219.4630590731,35688.48715625,0
"8",2014-10-31,104221.050463996,338104.038727135,12910.5401472234,42354.622389375,0
"9",2015-10-31,204449.326392832,380878.240623059,93128.4863003163,39149.2989007031,0
"10",2016-10-31,248118.477904033,272336.987913041,136655.259686396,81284.884248125,0
"11",2017-10-31,325454.259459716,388156.155063346,157791.960614166,68651.3134089375,20659.313975
"12",2018-10-31,316259.991229203,379648.562771912,352678.545496315,73801.2451761875,6185.6074225
"13",2019-10-31,302316.004463339,386625.35099168,461815.416468343,78769.4354396875,7157.255875
"14",2013-11-30,159526.150623995,333183.795377221,10475.7282439477,40127.879375,0
"15",2014-11-30,158753.460744631,326495.435229338,22855.3810668871,57710.932103125,0
"16",2015-11-30,266923.502337438,361443.404590097,158424.407886958,62745.7148832813,0
"17",2016-11-30,284776.623003592,387810.282014963,207707.570172618,104525.213450938,0
"18",2017-11-30,215649.381496467,389999.374457599,357150.298514822,252277.664370938,12990.510025
"19",2018-11-30,143382.323049005,359723.159111517,588385.221283373,97348.6489884375,3480.4980475
"20",2019-11-30,212638.451725987,362355.962564611,633276.800808787,90804.8693635938,4678.25390625
"21",2013-12-31,262022.247902019,336219.615813822,15773.6935341204,83739.775153125,0
"22",2014-12-31,248573.64184062,378416.180077589,150479.252202063,73463.642946875,0
"23",2015-12-31,294504.61160267,365491.736595879,193697.704733836,12278.0386125,0
"24",2016-12-31,299355.612302055,384671.692468444,325113.52713979,147174.337467109,0
"25",2017-12-31,107614.80976517,392034.487135586,451881.141073522,128041.105339063,14345.854225
"26",2018-12-31,63131.501365053,361196.719016346,771208.747993758,134864.537413281,3768.07421875
"27",2019-12-31,164355.741002199,363747.951016643,854753.458000112,124350.026290625,1296.0449225
"28",2013-02-28,222370.762424873,357867.945438904,103324.749285929,56688.4628625,0
"29",2014-02-28,169721.415277553,316009.443485539,12515.9516156017,60045.576784375,0
"30",2015-02-28,194587.501903324,346127.461070684,127775.520070844,54068.552028125,0
"31",2017-02-28,265939.578247804,317518.753659058,262112.973532043,109763.134138516,0
"32",2018-02-28,83815.9638737389,353874.52968683,403674.379780615,99291.8522476563,20590.52025
"33",2019-02-28,42057.6750640749,333968.769917371,776059.660802064,126974.893392187,4364.20703125
"34",2016-02-29,276520.298937785,369733.552100131,132699.909606771,53621.8076729687,0
"35",2013-03-31,192257.993142335,387912.742541184,82629.3399083233,30144.794784375,0
"36",2014-03-31,129311.857363229,174843.094877356,10087.5990610521,51396.441315625,0
"37",2015-03-31,189485.592434324,376885.574226677,117008.224578019,46190.26996875,0
"38",2016-03-31,302588.512604772,395887.57065525,129475.659236658,47419.7646875,0
"39",2017-03-31,245024.352115905,387680.80467555,233734.425977331,94898.8045625,25371.6668625
"40",2018-03-31,105790.14763067,382858.949596894,368793.114442466,107935.371855469,22958.0758625
"41",2019-03-31,105245.834243767,359197.912157154,641553.023905146,105940.216982813,6750.793
"42",2013-04-30,175580.880130601,366154.163059404,68900.1766668305,22100.9787078125,0
"43",2014-04-30,112845.505474944,329933.958153434,8033.73521011784,44901.01875,0
"44",2015-04-30,195219.214568851,367421.573509107,119580.886599955,42991.510046875,0
"45",2016-04-30,220217.141044048,386622.132322757,96270.484271982,35610.6557363281,0
"46",2017-04-30,199502.483246552,379958.899571879,167682.325147153,75327.7991292188,28507.681625
"47",2018-04-30,199259.140778465,377919.797610395,265260.359138238,83181.9308420313,28284.933625
"48",2019-04-30,273899.086465154,358842.938160551,460399.941847312,73296.974909375,8048.871125
"49",2013-05-31,265752.235338524,396183.195238043,106366.077695358,31739.51530625,0
"50",2014-05-31,96509.2996475051,344264.327416772,5878.5543249815,39553.237425,0
"51",2015-05-31,173003.202141385,373503.374911089,109151.413737848,35796.721151875,0
"52",2016-05-31,212565.745729924,401379.221476268,91869.4564265545,34041.141613125,0
"53",2017-05-31,252980.275280961,346770.945553438,156399.016814388,58010.0284638906,35986.3168875
"54",2018-05-31,331908.01845348,395001.151972276,193183.776556024,72520.8356345,33740.941475
"55",2019-05-31,285166.903872789,368020.506910509,431040.055404171,73196.2554020469,8082.96545
"56",2013-06-30,238854.899241559,363544.281451385,66051.0076265006,25496.4515165625,0
"57",2014-06-30,104860.504267087,318101.490441443,5129.47402814079,31555.746875,0
"58",2015-06-30,326160.001343609,365144.017524969,171586.963576616,30263.261319375,0
"59",2016-06-30,263258.696173776,384835.452018859,116228.434277816,29295.2303994531,0
"60",2017-06-30,275654.465423259,355867.957318635,255471.002506936,49866.3667787344,26383.4099625
"61",2018-06-30,472376.269426774,371444.892923023,87999.6123185358,60140.4095777187,34752.2193125
"62",2019-06-30,527317.102225083,356207.595212131,292741.657910077,28633.7828840625,10143.636725
"63",2013-07-31,334296.802524487,392154.610778907,90755.2383464071,25330.52492375,0
"64",2014-07-31,113899.490519838,330018.553354189,4394.27546435654,30610.5515625,0
"65",2015-07-31,363101.539178945,382504.867264175,109724.822526817,32963.7782071875,0
"66",2016-07-31,255678.607861434,399719.150464801,141159.142663252,29204.5765324219,0
"67",2017-07-31,478863.936430559,395318.836557531,1455069.38704261,46811.388643125,27600.7341375
"68",2018-07-31,561529.435422956,365696.700022973,75161.1483094424,60902.5380951094,31729.4885125
"69",2019-07-31,526252.241206989,379639.524532299,257905.913130965,29327.1720293906,9691.607425
"70",2013-08-31,264991.770631076,381838.669062529,80490.0570007996,26512.37565625,0
"71",2014-08-31,106546.406698161,335496.332144015,10242.5260166128,35090.296829375,0
"72",2015-08-31,357086.734676355,380156.712541577,86627.2330037879,35462.659739125,0
"73",2016-08-31,241231.501490806,403232.806720473,146530.21240549,29421.9970334375,0
"74",2017-08-31,597154.72049083,403325.180681111,2569859.69367015,49030.3300490469,29317.36965
"75",2018-08-31,435844.809128783,369902.141816251,13732302.8450985,63441.9359239062,28040.2357
"76",2019-08-31,527431.551477314,379533.07130957,251551.311631181,24683.4414647031,8470.12305
"77",2013-09-30,236890.409503297,366827.680168352,79208.0912762137,25096.05195625,0
"78",2014-09-30,107462.218089559,314788.037449613,9982.75771406659,34145.282241875,0
"79",2015-09-30,224346.735590309,359957.896889207,85835.1324845879,34376.7731623438,0
"80",2016-09-30,285288.581498862,261752.323395953,115237.16904422,31426.5272426563,0
"81",2017-09-30,511589.669604016,379757.936905064,80846.6111111741,48973.0243371406,21975.332525
"82",2018-09-30,352824.276883102,355064.230084704,244801.144272432,56883.2863012344,23091.9226375
"83",2019-09-30,419084.098795998,365835.276038077,268706.275798279,25189.7442990625,7106.566375
