"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","12212","95612","0"
"11/30/2019, 11:59:00 PM","27190","84266","64065"
"10/31/2019, 11:59:00 PM","56877","112505","86423"
"9/30/2019, 11:59:00 PM","87999","94280","56216"
"8/31/2019, 11:59:00 PM","130783","112373","57768"
"7/31/2019, 11:59:00 PM","122535","121670","62057"
"6/30/2019, 11:59:00 PM","112533","115350","57585"
"5/31/2019, 11:59:00 PM","69214","115811","101025"
"4/30/2019, 11:59:00 PM","58308","113568","91625"
"3/31/2019, 11:59:00 PM","22359","107579","135612"
"2/28/2019, 11:59:00 PM","9245","90550","162808"
"1/31/2019, 11:59:00 PM","13452","102319","159249"
"12/31/2018, 11:59:00 PM","11528","102582","161439"
"11/30/2018, 11:59:00 PM","25923","112441","127764"
"10/31/2018, 11:59:00 PM","64400","114567","80948"
"9/30/2018, 11:59:00 PM","90930","120319","63608"
"8/31/2018, 11:59:00 PM","129612","126714","97466"
"7/31/2018, 11:59:00 PM","157614","131870","109421"
"6/30/2018, 11:59:00 PM","125572","131815","88066"
"5/31/2018, 11:59:00 PM","99909","143682","139902"
"4/30/2018, 11:59:00 PM","67208","133461","157150"
"3/31/2018, 11:59:00 PM","35546","127193","183341"
"2/28/2018, 11:59:00 PM","30072","115086","227967"
"1/31/2018, 11:59:00 PM","27957","116860","271133"
"12/31/2017, 11:59:00 PM","30197","122597","283636"
"11/30/2017, 11:59:00 PM","37203","119727","188269"
"10/31/2017, 11:59:00 PM","","132680",""
"9/30/2017, 11:59:00 PM","","131258",""
"8/31/2017, 11:59:00 PM","","133701",""
"7/31/2017, 11:59:00 PM","","124751",""
"6/30/2017, 11:59:00 PM","","149222",""
"5/31/2017, 11:59:00 PM","","154772",""
"4/30/2017, 11:59:00 PM","","111563",""
"3/31/2017, 11:59:00 PM","","111611",""
"2/28/2017, 11:59:00 PM","","97292",""
"1/31/2017, 11:59:00 PM","","100453",""
"12/31/2016, 11:59:00 PM","","95001",""
"11/30/2016, 11:59:00 PM","","96329",""
"10/31/2016, 11:59:00 PM","","96594",""
"9/30/2016, 11:59:00 PM","","107850",""
"8/31/2016, 11:59:00 PM","","123831",""
"7/31/2016, 11:59:00 PM","","112727",""
"6/30/2016, 11:59:00 PM","","120133",""
"5/31/2016, 11:59:00 PM","","118807",""
"4/30/2016, 11:59:00 PM","","107027",""
"3/31/2016, 11:59:00 PM","","109284",""
"2/29/2016, 11:59:00 PM","","120963",""
"1/31/2016, 11:59:00 PM","","105982",""
"12/31/2015, 11:59:00 PM","","105631",""
"11/30/2015, 11:59:00 PM","","111262",""
"10/31/2015, 11:59:00 PM","","108294",""
"9/30/2015, 11:59:00 PM","","99354",""
"8/31/2015, 11:59:00 PM","","108324",""
"7/31/2015, 11:59:00 PM","","130044",""
"6/30/2015, 11:59:00 PM","","143965",""
"5/31/2015, 11:59:00 PM","","142794",""
"4/30/2015, 11:59:00 PM","","139952",""
"3/31/2015, 11:59:00 PM","","144664",""
"2/28/2015, 11:59:00 PM","","105053",""
"1/31/2015, 11:59:00 PM","","107485",""
"12/31/2014, 11:59:00 PM","","102676",""
"11/30/2014, 11:59:00 PM","","109723",""
"10/31/2014, 11:59:00 PM","","121826",""
"9/30/2014, 11:59:00 PM","","116947",""
"8/31/2014, 11:59:00 PM","","129139",""
"7/31/2014, 11:59:00 PM","","144423",""
"6/30/2014, 11:59:00 PM","","138673",""
"5/31/2014, 11:59:00 PM","","149465",""
"4/30/2014, 11:59:00 PM","","129943",""
"3/31/2014, 11:59:00 PM","","132874",""
"2/28/2014, 11:59:00 PM","","123468",""
"1/31/2014, 11:59:00 PM","","134881",""
"12/31/2013, 11:59:00 PM","","120202",""
"11/30/2013, 11:59:00 PM","","114877",""
"10/31/2013, 11:59:00 PM","","153983",""
"9/30/2013, 11:59:00 PM","","155182",""
"8/31/2013, 11:59:00 PM","","147481",""
"7/31/2013, 11:59:00 PM","","172433",""
"6/30/2013, 11:59:00 PM","","168113",""
"5/31/2013, 11:59:00 PM","","195238",""
"4/30/2013, 11:59:00 PM","","170102",""
"3/31/2013, 11:59:00 PM","","158641",""
"2/28/2013, 11:59:00 PM","","156954",""