"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","117810","114177"
"11/30/2019, 11:59:00 PM","114943","72355.5"
"10/31/2019, 11:59:00 PM","130077","46609.5"
"9/30/2019, 11:59:00 PM","132392","19047"
"8/31/2019, 11:59:00 PM","164204","15886.5"
"7/31/2019, 11:59:00 PM","153287","19288.5"
"6/30/2019, 11:59:00 PM","143187","15970.5"
"5/31/2019, 11:59:00 PM","126008","36603"
"4/30/2019, 11:59:00 PM","124290","39858"
"3/31/2019, 11:59:00 PM","118164","80251.5"
"2/28/2019, 11:59:00 PM","128624","126577.5"
"1/31/2019, 11:59:00 PM","147926","159619.875"
"12/31/2018, 11:59:00 PM","170025","266120.469"
"11/30/2018, 11:59:00 PM","113590","83412"
"10/31/2018, 11:59:00 PM","132918","34524"
"9/30/2018, 11:59:00 PM","127221","25307.1719"
"8/31/2018, 11:59:00 PM","148875","24265.5"
"7/31/2018, 11:59:00 PM","159473","15550.5"
"6/30/2018, 11:59:00 PM","137199","20832"
"5/31/2018, 11:59:00 PM","131792","35952"
"4/30/2018, 11:59:00 PM","117243","57004.5"
"3/31/2018, 11:59:00 PM","124415","92421"
"2/28/2018, 11:59:00 PM","117793","90667.5"
"1/31/2018, 11:59:00 PM","125555","117652.5"
"12/31/2017, 11:59:00 PM","124216","125916"
"11/30/2017, 11:59:00 PM","120931","114718.063"
"10/31/2017, 11:59:00 PM","154525","71305.5"
"9/30/2017, 11:59:00 PM","165629","27961.5"
"8/31/2017, 11:59:00 PM","186923","26061"
"7/31/2017, 11:59:00 PM","159805","23047.5"
"6/30/2017, 11:59:00 PM","162306","27982.5"
"5/31/2017, 11:59:00 PM","139591","28791"
"4/30/2017, 11:59:00 PM","106216","50893.5"
"3/31/2017, 11:59:00 PM","116938","70759.5"
"2/28/2017, 11:59:00 PM","117148","103834.5"
"1/31/2017, 11:59:00 PM","153094","179644.5"
"12/31/2016, 11:59:00 PM","152287","175780.5"
"11/30/2016, 11:59:00 PM","116606","91770"
"10/31/2016, 11:59:00 PM","108956","42850.5"