"Date Time","Chilled Water","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","8658","67757","152862.156"
"11/30/2019, 11:59:00 PM","23124","63775","120120.3"
"10/31/2019, 11:59:00 PM","64919","69338","110748.039"
"9/30/2019, 11:59:00 PM","91060","66091","1251.07471"
"8/31/2019, 11:59:00 PM","112139","65666","5402.682"
"7/31/2019, 11:59:00 PM","98102","64466","5854.35156"
"6/30/2019, 11:59:00 PM","91343","61604","14758.8"
"5/31/2019, 11:59:00 PM","74854","67300","97719.3"
"4/30/2019, 11:59:00 PM","68715","66339","99314.1"
"3/31/2019, 11:59:00 PM","45665","65541","140489.031"
"2/28/2019, 11:59:00 PM","35630","59895","163520.625"
"1/31/2019, 11:59:00 PM","34068","65627","157366.047"
"12/31/2018, 11:59:00 PM","27690","63937","163509.125"
"11/30/2018, 11:59:00 PM","19647","63678","126462.2"
"10/31/2018, 11:59:00 PM","36530","69361","96540.78"
"9/30/2018, 11:59:00 PM","36155","66966","63742.8"
"8/31/2018, 11:59:00 PM","43277","71770","66000.47"
"7/31/2018, 11:59:00 PM","54329","75084","59356.7773"
"6/30/2018, 11:59:00 PM","47023","72082","62116.34"
"5/31/2018, 11:59:00 PM","60748","72412","77932.125"
"4/30/2018, 11:59:00 PM","28058","68646","80352.7656"
"3/31/2018, 11:59:00 PM","10790","70036","104505.453"
"2/28/2018, 11:59:00 PM","7560","64307","100092.3"
"1/31/2018, 11:59:00 PM","1248","71101","124880.2"
"12/31/2017, 11:59:00 PM","1080","71202","146741.7"
"11/30/2017, 11:59:00 PM","3814","70724","100804.2"
"10/31/2017, 11:59:00 PM","43467","73815","70730.375"
"9/30/2017, 11:59:00 PM","78614","70507","49521.15"
"8/31/2017, 11:59:00 PM","99919","73701","48288.45"
"7/31/2017, 11:59:00 PM","105718","72888","45306.45"
"6/30/2017, 11:59:00 PM","105004","73312","55114.5"
"5/31/2017, 11:59:00 PM","67187","74987","63324.45"
"4/30/2017, 11:59:00 PM","22986","70410","76735.0547"
"3/31/2017, 11:59:00 PM","17551","74445","100011.461"
"2/28/2017, 11:59:00 PM","1464","66160","116043.281"
"1/31/2017, 11:59:00 PM","684","73724","155812.672"
"12/31/2016, 11:59:00 PM","999","71643","154584.547"
"11/30/2016, 11:59:00 PM","10912","69359","104896.883"
"10/31/2016, 11:59:00 PM","27855","72708","77206.5"
"9/30/2016, 11:59:00 PM","67914","72559","62574.75"
"8/31/2016, 11:59:00 PM","78758","75591","58583.3"
"7/31/2016, 11:59:00 PM","90649","75504","58147.457"
"6/30/2016, 11:59:00 PM","84691","73641","58328.55"
"5/31/2016, 11:59:00 PM","52641","73202","67697.81"
"4/30/2016, 11:59:00 PM","28485","69366","70217.7"
"3/31/2016, 11:59:00 PM","11130","69914","92093.4"
"2/29/2016, 11:59:00 PM","9454","66827","103813.742"
"1/31/2016, 11:59:00 PM","834","71495","44584.05"
"12/31/2015, 11:59:00 PM","1906","70698","17007.6816"
"11/30/2015, 11:59:00 PM","3501","70007","122188.5"
"10/31/2015, 11:59:00 PM","48290","73341","77591.85"
"9/30/2015, 11:59:00 PM","62776","72120","67727.7344"
"8/31/2015, 11:59:00 PM","76302","73908","70596"
"7/31/2015, 11:59:00 PM","82311","73738","65605.33"
"6/30/2015, 11:59:00 PM","72441","69875","60168.8555"
"5/31/2015, 11:59:00 PM","34100","70495","71029.09"
"4/30/2015, 11:59:00 PM","13270","71035","84893.4"
"3/31/2015, 11:59:00 PM","24639","70776","91287.58"
"2/28/2015, 11:59:00 PM","9573","66899","107228.734"
"1/31/2015, 11:59:00 PM","4506","75271","149352.7"
"12/31/2014, 11:59:00 PM","3845","73839","142511.172"
"11/30/2014, 11:59:00 PM","7937","66277","113086.313"
"10/31/2014, 11:59:00 PM","42564","70205","84178.79"
"9/30/2014, 11:59:00 PM","59904","70554","67889.875"
"8/31/2014, 11:59:00 PM","74196","76859","69795.125"
"7/31/2014, 11:59:00 PM","79812","74492","60874.8"
"6/30/2014, 11:59:00 PM","69552","75128","62774.6875"
"5/31/2014, 11:59:00 PM","54684","76578","78620.41"
"4/30/2014, 11:59:00 PM","31149","76048","89114.55"
"3/31/2014, 11:59:00 PM","13884","76315","101934.25"
"2/28/2014, 11:59:00 PM","3763","64657.5","118495.969"
"1/31/2014, 11:59:00 PM","5651","81250","139662.938"
"12/31/2013, 11:59:00 PM","3332","77829","164709.813"
"11/30/2013, 11:59:00 PM","8940","76770","79091.44"
"10/31/2013, 11:59:00 PM","29902","81281","70816.42"
"9/30/2013, 11:59:00 PM","53409","77639","49804.2656"
"8/31/2013, 11:59:00 PM","66383","79689","52661.75"
"7/31/2013, 11:59:00 PM","76182","83821","50332.3672"
"6/30/2013, 11:59:00 PM","72454","78288","50686.4453"
"5/31/2013, 11:59:00 PM","55454","82334","63121.9023"
"4/30/2013, 11:59:00 PM","35434","80590","43763.45"
"3/31/2013, 11:59:00 PM","14647","80103","59609.332"
"2/28/2013, 11:59:00 PM","1747","73044","111694.18"